pincode,place,state,district,lat,lng
723155,Bhawridih,West Bengal,Purulia,23.5269,86.5137
723156,Talberia,West Bengal,Purulia,23.2878,86.4834
723161,Bargoria,West Bengal,Purulia,23.2774,86.4183
723168,Manihara,West Bengal,Purulia,23.2774,86.4183
723201,Rangamati,West Bengal,Purulia,23.2361,86.4887
723202,Ichag,West Bengal,Purulia,23.3861,85.9525
723212,Nowadhi,West Bengal,Purulia,23.2503,85.8922
723213,Simni,West Bengal,Purulia,23.4387,85.9953
723215,Baglata,West Bengal,Purulia,23.2772,85.9069
731101,Sonatoresuri,West Bengal,Birbhum,23.7968,87.6952
731102,Bhurkuna,West Bengal,Birbhum,23.6854,87.7386
731103,Baraalunda,West Bengal,Birbhum,23.7968,87.6952
731104,Chinpai,West Bengal,Birbhum,23.9639,87.63
731121,Batikar,West Bengal,Birbhum,23.9536,87.6665
731123,Peruagopalpur,West Bengal,Birbhum,23.8367,87.3746
731124,Hetampur Rajbati,West Bengal,Birbhum,23.9536,87.6665
731125,Bhadulia,West Bengal,Birbhum,23.9536,87.6665
731126,Bhabanipur,West Bengal,Birbhum,23.9536,87.6665
731127,Rampur,West Bengal,Birbhum,23.5369,87.7085
731129,Majhigram,West Bengal,Birbhum,23.9536,87.6665
731130,Aligarh,West Bengal,Birbhum,24.1261,87.6915
731132,Md.Bazar Town Ship,West Bengal,Birbhum,24.1261,87.6915
731133,Panchrahat,West Bengal,Birbhum,24.1261,87.6915
731201,Bataspur,West Bengal,Birbhum,24.1621,87.78
731202,Mallickpur,West Bengal,Birbhum,23.9536,87.6665
731204,Rajatpur,West Bengal,Birbhum,23.9536,87.6665
731214,Illambazar,West Bengal,Birbhum,24.1395,87.8054
731215,Bandar,West Bengal,Birbhum,24.2069,87.9004
731216,Damra,West Bengal,Birbhum,24.0762,87.7092
731218,Kaleswar,West Bengal,Birbhum,23.6193,87.8905
731219,Amdole,West Bengal,Birbhum,24.3616,87.8519
731220,Tejhati,West Bengal,Birbhum,24.31635,87.8757
731221,Kasimnagar,West Bengal,Birbhum,24.4801,87.9454
731222,Ambhua,West Bengal,Birbhum,24.4505,87.8601
731223,Dadpur,West Bengal,Birbhum,24.1951,87.7706
731224,Mahajanpatty,West Bengal,Birbhum,24.1767,87.7743
731233,Atla,West Bengal,Birbhum,24.1204,87.7744
731234,Rakhakalitala,West Bengal,Birbhum,24.0927,87.6892
731235,Santiniketan,West Bengal,Birbhum,23.6823,87.6864
731236,Bheramari,West Bengal,Birbhum,23.9536,87.6665
731237,Krishnapur,West Bengal,Birbhum,24.2618,87.9786
731238,Khanpur,West Bengal,Birbhum,24.3346,87.8422
731240,Bahiri,West Bengal,Birbhum,24.1508,87.8519
731241,Nonadanga,West Bengal,Birbhum,24.1924,87.9154
731242,Sardha,West Bengal,Birbhum,24.2434,87.887
731243,Bautia,West Bengal,Birbhum,24.2039,87.7328
731244,Budhigram,West Bengal,Birbhum,24.1183,87.8877
731245,Begunia,West Bengal,Birbhum,24.0489,87.8456
731301,Charkolgram,West Bengal,Birbhum,24.5795,87.7736
731302,Koreya,West Bengal,Birbhum,23.9536,87.6665
731303,Indus,West Bengal,Birbhum,23.8477,87.7864
731304,Kazipara,West Bengal,Birbhum,24.5164,87.8648
732101,Mirchak,West Bengal,Malda,25.1367,88.0923
732102,Mahakalbona,West Bengal,Malda,25.1367,88.0923
732103,Kamalabari,West Bengal,Malda,25.1367,88.0923
732121,Gouramari,West Bengal,Malda,25.0741,87.9359
732122,Khoribari,West Bengal,Malda,25.1367,88.0923
732123,Paraninagar,West Bengal,Malda,25.3901,87.9896
732124,Hatimari,West Bengal,Malda,25.1367,88.0923
732125,Bansdol Daulatpur,West Bengal,Malda,25.3579,87.8677
732126,Goalpara,West Bengal,Malda,25.1664,87.9767
732127,Khejuriaghat,West Bengal,Malda,25.0741,87.9359
732128,Old Malda,West Bengal,Malda,25.0795,88.1462
732138,Patul,West Bengal,Malda,25.2576,87.9852
732139,Jitarpur,West Bengal,Malda,25.3249,87.9524
732140,Tulsihatta,West Bengal,Malda,25.2142,87.8895
732141,Narayanpur (Malda),West Bengal,Malda,25.4076,87.8574
732142,Madhaipur,West Bengal,Malda,25.1367,88.0923
732143,Arapur,West Bengal,Malda,25.0056,87.9102
732144,Kotwali (Malda),West Bengal,Malda,25.0056,87.9102
732147,Bamangola,West Bengal,Malda,25.1833,88.2667
732150,Kharba,West Bengal,Malda,25.426,88.0689
732201,Bahadurpur,West Bengal,Malda,25.1367,88.0923
732202,Manikchak,West Bengal,Malda,25.1367,88.0923
732203,Bakdukra Anantalalpur,West Bengal,Malda,25.4031,87.8175
732204,Brahmangram,West Bengal,Malda,25.1382,87.989
732205,Laskarpur,West Bengal,Malda,25.1367,88.0923
732206,Sayedpur,West Bengal,Malda,24.99,87.9253
732207,Bangitola,West Bengal,Malda,25.1367,88.0923
732208,Niamatpur,West Bengal,Malda,25.0362,88.0045
732209,Pirpur,West Bengal,Malda,25.1367,88.0923
732210,Lakshmipur,West Bengal,Malda,25.0096,87.9497
732211,Milki,West Bengal,Malda,25.1367,88.0923
732212,Jadupur,West Bengal,Malda,25.1367,88.0923
732213,Pukhuria,West Bengal,Malda,25.1419,88.0166
732214,Araidanga,West Bengal,Malda,25.1228,87.9837
732215,Pubarun,West Bengal,Malda,25.1367,88.0923
732216,Umakantatola,West Bengal,Malda,25.1367,88.0923
733101,Balurghat Market,West Bengal,South Dinajpur,24.8616,87.887
733102,Radhanagar,West Bengal,South Dinajpur,24.7066,87.8967
733103,Nunail,West Bengal,South Dinajpur,25.3266,87.858
733121,Durgapur,West Bengal,South Dinajpur,25.0576,88.1934
733123,Tenohari,West Bengal,North Dinajpur,25.881,88.1583
733124,Nalagola,West Bengal,South Dinajpur,24.8436,88.2647
733125,Balihara,West Bengal,South Dinajpur,24.1985,87.9041
733126,Fatepur,West Bengal,South Dinajpur,24.5838,88.0444
733127,Ramchandrapur,West Bengal,South Dinajpur,24.2444,87.4177
733128,Joyhat,West Bengal,North Dinajpur,25.881,88.1583
733129,Malgaon,West Bengal,North Dinajpur,25.881,88.1583
733130,Hemtabad,West Bengal,North Dinajpur,25.6771,88.2228
733132,Fatepur Hat,West Bengal,South Dinajpur,25.5259,88.3651
733133,Gobindapur,West Bengal,South Dinajpur,24.7135,87.9402
733134,Industrial Market,West Bengal,North Dinajpur,25.881,88.1583
733140,Janchi,West Bengal,South Dinajpur,22.2786,88.3207
733141,Dangarhat,West Bengal,South Dinajpur,24.4388,88.3645
733142,Kupadaha,West Bengal,South Dinajpur,24.0732,88.221
733143,Sonapur,West Bengal,North Dinajpur,25.881,88.1583
733145,Jamalpur,West Bengal,South Dinajpur,24.0551,87.7262
733156,Maharajahat,West Bengal,North Dinajpur,24.8274,88.1336
733158,Atrai,West Bengal,South Dinajpur,24.8274,88.1336
733201,Andharia,West Bengal,North Dinajpur,25.881,88.1583
733202,Gunjaria Bazar,West Bengal,North Dinajpur,26.2654,88.1898
733207,Khunia,West Bengal,North Dinajpur,25.577,88.0713
733208,Thakurbari,West Bengal,North Dinajpur,26.0528,87.9738
733209,Hassan,West Bengal,North Dinajpur,26.0021,87.888
733210,Jharbari,West Bengal,North Dinajpur,25.881,88.1583
733215,Madargachhi,West Bengal,North Dinajpur,25.7973,87.957
734001,Subashpally,West Bengal,Darjiling,26.9135,88.3947
734002,Salbari,West Bengal,Darjiling,26.9135,88.3947
734003,Champasari,West Bengal,Darjiling,26.9135,88.3947
734004,Desbandhupara,West Bengal,Darjiling,26.9135,88.3947
734005,Jyoti Nagar,West Bengal,Darjiling,26.9135,88.3947
734006,Rabindra Sarani,West Bengal,Jalpaiguri,26.731,88.9486
734007,Lake Town (Darjiling),West Bengal,Jalpaiguri,26.731,88.9486
734008,Sitong,West Bengal,Darjiling,26.9135,88.3947
734009,Simulbari,West Bengal,Darjiling,26.9135,88.3947
734010,Matigara,West Bengal,Darjiling,26.723,88.3806
734011,Kadamtala (Darjiling),West Bengal,Darjiling,26.7111,88.3462
734012,Sushrut Nagar,West Bengal,Darjiling,26.7111,88.3462
734013,New Rangia,West Bengal,Darjiling,26.7111,88.3462
734014,Chowpukuria,West Bengal,Darjiling,26.6993,88.3118
734015,Mahananda Project,West Bengal,Jalpaiguri,26.6605,89.0844
734101,Bhutia Busty,West Bengal,Darjiling,27.051,88.2618
734102,Simkuna,West Bengal,Darjiling,27.008,88.2373
734103,Rajbari,West Bengal,Darjiling,26.98225,88.32825
734104,Soom,West Bengal,Darjiling,27.1256,88.2896
734105,Mineral Spring,West Bengal,Darjiling,27.0623,88.2829
734121,Dooteriah,West Bengal,Darjiling,27.051,88.2618
734123,Rangbull,West Bengal,Darjiling,27.051,88.2618
734124,Tukvar,West Bengal,Darjiling,27.051,88.2618
734201,Goke Bazar,West Bengal,Darjiling,27.0824,88.175
734203,Dumaram Busty,West Bengal,Darjiling,26.8784,88.2593
734204,Dowhill,West Bengal,Darjiling,27.0144,88.2031
734213,Lopchu,West Bengal,Darjiling,26.9083,88.2224
734214,Mirik,West Bengal,Darjiling,26.8882,88.1901
734215,Nagrispur,West Bengal,Darjiling,26.9083,88.2224
734216,Rangbang,West Bengal,Darjiling,26.9571,88.1668
734217,Jamdar Vitta,West Bengal,Darjiling,26.8304,88.2625
734218,Singbulli,West Bengal,Darjiling,26.9083,88.2224
734219,Sonada,West Bengal,Darjiling,26.9575,88.27
734220,St.Mary's Hill,West Bengal,Darjiling,26.9051,88.3002
734221,Mim,West Bengal,Darjiling,26.9709,88.3462
734222,Tinchuley,West Bengal,Darjiling,27.0565,88.3313
734223,Tindharia,West Bengal,Darjiling,26.8547,88.3436
734224,Margarets Hope,West Bengal,Darjiling,26.9709,88.3462
734226,Geile Banjyang,West Bengal,Darjiling,27.019,88.378
734227,Soureni Bazar,West Bengal,Darjiling,26.9709,88.3462
734301,Kalimpong,West Bengal,Kalimpong,27.036,88.4878
734311,Kagay Bazar,West Bengal,Kalimpong,27.1539,88.6145
734312,Takling,West Bengal,Darjiling,27.0573,88.4193
734313,School Dhura,West Bengal,Darjiling,27.0886,88.5287
734314,Lava,West Bengal,Kalimpong,27.086,88.6617
734315,Burmeck,West Bengal,Kalimpong,27.0886,88.5287
734316,Rousay Bazar,West Bengal,Kalimpong,27.0886,88.5287
734317,Echhey,West Bengal,Darjiling,27.0886,88.5287
734320,Kalijhora,West Bengal,Darjiling,26.9319,88.4504
734321,Reang,West Bengal,Darjiling,26.9319,88.4504
734421,Bagdogra Air Port,West Bengal,Darjiling,26.6827,88.22
734423,Belgachi,West Bengal,Darjiling,26.6827,88.22
734424,Bendubi,West Bengal,Darjiling,26.6827,88.22
734425,Bidhan Nagar,West Bengal,Darjiling,26.6827,88.22
734426,Buraganj,West Bengal,Darjiling,26.6827,88.22
734427,Bhajanpur Jote,West Bengal,Darjiling,26.6827,88.22
734429,Naksalbari,West Bengal,Darjiling,26.6827,88.22
734431,Sahabad,West Bengal,Darjiling,26.5864,88.368
734434,Phansidewa,West Bengal,Darjiling,26.5864,88.368
734436,Chathat,West Bengal,Darjiling,26.5864,88.368
734501,Bagrakote,West Bengal,Jalpaiguri,26.6605,89.0844
734503,Todaygaon,West Bengal,Darjiling,26.9251,88.5689
735101,Kadamtala (Jalpaiguri),West Bengal,Jalpaiguri,26.6605,89.0844
735102,Jpg.Govt Engg College,West Bengal,Jalpaiguri,26.6605,89.0844
735121,Danguajhar,West Bengal,Jalpaiguri,26.6605,89.0844
735122,Hemkumari,West Bengal,Cooch Behar,26.291,89.3437
735132,Pandapara Kalibari,West Bengal,Jalpaiguri,24.9258,87.2897
735133,Saraswatipur Bagan,West Bengal,Jalpaiguri,23.5217,88.1902
735134,Sawdavita,West Bengal,Jalpaiguri,24.2238,87.7399
735135,Payachari,West Bengal,Jalpaiguri,24.2238,87.7399
735202,Banarhat,West Bengal,Jalpaiguri,26.792,89.0287
735203,Binnaguri,West Bengal,Jalpaiguri,26.6771,88.4814
735204,Ethelbari Crossing,West Bengal,Alipurduar,26.7042,89.1455
735205,Carron,West Bengal,Jalpaiguri,26.7644,88.8616
735206,Rango,West Bengal,Jalpaiguri,26.8841,88.7907
735207,Chamurchi,West Bengal,Jalpaiguri,26.7644,88.8616
735208,Dalsingpara,West Bengal,Alipurduar,26.7644,88.8616
